ym,n,damni,afect,viv_destr
2016-10,0,0.0,0.0,0.0
2016-11,0,0.0,0.0,0.0
2016-12,0,0.0,0.0,0.0
2017-01,43,9016.0,77732.0,1630.0
2017-02,99,11536.0,73008.0,986.0
2017-03,194,72965.0,289209.0,10202.0
2017-04,24,6423.0,24805.0,247.0
2017-05,6,2040.0,16903.0,100.0
2017-06,2,2.0,0.0,0.0
2017-07,1,0.0,0.0,0.0
2017-08,0,0.0,0.0,0.0
2017-09,0,0.0,0.0,0.0
2017-10,1,0.0,0.0,0.0
2017-11,0,0.0,0.0,0.0
2017-12,0,0.0,0.0,0.0
2018-01,9,1497.0,1000.0,204.0
2018-02,2,0.0,78.0,0.0
2018-03,5,343.0,2868.0,30.0
2018-04,19,1954.0,1061.0,289.0
2018-05,8,913.0,1183.0,1.0
2018-06,2,0.0,0.0,0.0
2018-07,3,0.0,0.0,0.0
2018-08,1,0.0,0.0,0.0
2018-09,0,0.0,0.0,0.0
2018-10,0,0.0,0.0,0.0
2018-11,3,129.0,388.0,0.0
2018-12,1,0.0,0.0,0.0
2019-01,6,10.0,206.0,0.0
2019-02,113,894.0,9052.0,82.0
2019-03,68,378.0,2908.0,26.0
2019-04,15,37.0,561.0,1.0
2019-05,0,0.0,0.0,0.0
2019-06,3,0.0,0.0,0.0
2019-07,0,0.0,0.0,0.0
2019-08,0,0.0,0.0,0.0
2019-09,0,0.0,0.0,0.0
2019-10,0,0.0,0.0,0.0
2019-11,2,0.0,0.0,0.0
2019-12,30,85.0,20.0,16.0
2020-01,13,0.0,0.0,0.0
2020-02,10,0.0,132.0,0.0
2020-03,9,4.0,2907.0,1.0
2020-04,5,1.0,152.0,0.0
2020-05,0,0.0,0.0,0.0
2020-06,1,0.0,0.0,0.0
2020-07,0,0.0,0.0,0.0
2020-08,0,0.0,0.0,0.0
2020-09,2,0.0,0.0,0.0
2020-10,0,0.0,0.0,0.0
2020-11,1,0.0,0.0,0.0
2020-12,12,0.0,153.0,0.0
