reservorio,anio,mes,agua_ha,cobertura_valida,n_escenas
Poechos,2016,2,3454.2996958155013,0.9949066692046241,2
Poechos,2016,3,85.34809013963887,0.06464545785048546,1
Poechos,2016,4,4604.7614365771715,0.7453785202949301,2
Poechos,2016,5,5555.171940771197,0.9955706093068378,2
Poechos,2016,6,5320.944119474357,0.969574950058371,2
Poechos,2016,7,5480.291356318167,0.9583703313729949,2
Poechos,2016,8,5364.570967859892,0.9955200558213483,2
Poechos,2016,9,4340.068854049503,0.9939240074489046,2
Poechos,2016,10,3304.6333817493874,0.995527269149726,2
Poechos,2016,11,2623.8558253699925,0.9925662045135119,2
Poechos,2016,12,1588.9103881664562,0.8643371388593012,2
Poechos,2017,1,2700.536397360481,0.9647241153711666,2
Poechos,2017,2,3015.458887158587,0.8772498268887486,1
Poechos,2017,3,3122.730764275309,0.6697747796972358,2
Poechos,2017,4,1062.9821500531123,0.34212290748805096,2
Poechos,2017,5,359.23048108025046,0.056698293151368484,2
Poechos,2017,6,0,0.00045240474987651673,2
Poechos,2017,7,0,0,2
Poechos,2017,8,14.88892326944988,0.009869513112276808,2
Poechos,2017,9,5246.215207652732,0.9950506040805883,2
Poechos,2017,10,4618.628456830646,0.9289861727800859,2
Poechos,2017,11,4431.080727472092,0.9955922750819519,2
Poechos,2017,12,4004.590830857868,0.9945089163116558,1
Poechos,2018,1,636.001013341591,0.12964756100178956,2
Poechos,2018,2,125.605524805238,0.14884944957758373,2
Poechos,2018,3,4199.594593949838,0.9695969766675933,2
Poechos,2018,4,5569.28180363571,0.9952961632183791,2
Poechos,2018,5,5497.496382285277,0.9919379177556745,1
Poechos,2018,6,5369.03141046406,0.9955850523398146,2
Poechos,2018,7,5317.694981930842,0.9955417186209228,2
Poechos,2018,8,4908.567657979283,0.9951228391529866,2
Poechos,2018,9,1188.1868214886115,0.5984787242038782,2
Poechos,2018,10,2610.6864598036345,0.9256299961466633,1
Poechos,2018,11,2261.2660466160914,0.9510739364984394,2
Poechos,2018,12,0,0,1
Poechos,2019,1,2913.9354682211488,0.9954189387336736,2
Poechos,2019,2,3065.6186918490307,0.9955706081319222,2
Poechos,2019,3,3379.0027582313223,0.9954916772506566,2
Poechos,2019,4,5882.61742878947,0.9955200524238493,2
Poechos,2019,5,690.3892825135713,0.10125562988071567,2
Poechos,2019,6,5563.681057441024,0.9953322813887833,2
Poechos,2019,7,5867.610949474069,0.9955778300261254,2
Poechos,2019,8,3682.3245870040832,0.5157632181000243,1
Poechos,2019,9,5474.8358144762005,0.9955489435598625,2
Poechos,2019,10,1947.0183166868687,0.4281739039671845,2
Poechos,2019,11,4110.021162939957,0.9877435715479045,2
Poechos,2019,12,3779.373700948368,0.9952239393107805,2
Poechos,2020,1,1653.685801043701,0.3389824557766222,2
Poechos,2020,2,172.3067780174345,0.1928997128878862,1
Poechos,2020,3,1287.6269995421644,0.45511595500407537,2
Poechos,2020,4,5421.334083285823,0.8459391606053881,2
Poechos,2020,5,5742.545082300691,0.9954550571796709,2
Poechos,2020,6,0,0,1
Poechos,2020,7,5770.571971117591,0.9954983899690647,2
Poechos,2020,8,5642.798385568299,0.9953683903345103,2
Poechos,2020,9,4814.244983903426,0.9955778312094505,2
Poechos,2020,10,2955.207833505165,0.5585003427118038,2
Poechos,2020,11,1467.076730123243,0.7383549351804376,1
Poechos,2020,12,2305.3018866024727,0.9354646243723925,1
Poechos,2021,1,3070.6856699940163,0.9953033879481284,2
Poechos,2021,2,2729.9105867715043,0.9952239469229271,2
Poechos,2021,3,5497.8625965846895,0.995556161052983,2
Poechos,2021,4,308.8829224609375,0.06710343441415567,1
Poechos,2021,5,5547.357260972016,0.961751077511201,1
Poechos,2021,6,0,0,1
Poechos,2021,7,5918.149523861515,0.995461684017999,2
Poechos,2021,8,4480.4007836046185,0.8298896713392268,2
Poechos,2021,9,23.43860844116211,0.05600829231415347,2
Poechos,2021,10,3947.6331833312997,0.9832509457384802,2
Poechos,2021,11,2762.9325559368303,0.9342695852338625,2
Poechos,2021,12,0,0,1
