anio,mes,ndmi_andes,msavi_montes,n_escenas
2013,1,,,0
2013,2,,,0
2013,3,0.1326755352441627,0.3199401622451875,4
2013,4,0.0865256304049286,0.2990334068238414,2
2013,5,0.0881418378306111,0.2112245815748876,5
2013,6,0.121828713962179,0.1629082112673099,5
2013,7,0.0666204394398216,0.1386919057582153,8
2013,8,0.0826002829340345,0.1294768808103691,8
2013,9,-0.0964035692759833,0.1250924562368558,6
2013,10,-0.0219882260399157,0.1118079895549096,7
2013,11,0.026979271257074,0.110690828488496,6
2013,12,-0.0069136581772038,0.1050750529887283,7
2014,1,-0.0311589748648787,0.0904993976310699,5
2014,2,,0.0974619642443833,4
2014,3,0.0898798227013586,0.1424260522076972,6
2014,4,0.1048231581906863,0.1557815878906094,8
2014,5,0.1603164321907411,0.1557049192176174,6
2014,6,0.0777549480497166,0.1126715774021861,6
2014,7,0.0887399898505717,0.1033914752456882,7
2014,8,0.062413069317054,0.0984950725819336,8
2014,9,0.0897844348698375,0.1023922717723523,8
2014,10,0.052164002807419,0.0974031872205778,8
2014,11,0.1324864540128967,0.0898675573370165,5
2014,12,-0.0731648748037002,0.094477552281458,8
2015,1,0.0003434583864894,0.0864529381911425,7
2015,2,0.0793164784043574,0.1347464141600179,6
2015,3,0.1291508183757598,0.1259510699582481,6
2015,4,0.1213375942239106,0.3577665074907544,4
2015,5,0.1291781377431665,0.1708018864607339,8
2015,6,0.0906279285958678,0.1608851380540768,5
2015,7,0.1187496727359243,0.1285469145607964,8
2015,8,0.0003976901089452,0.1849953856730523,6
2015,9,0.0442622213261029,0.1492001806726812,6
2015,10,-0.0018258329771017,0.1422225705544554,8
2015,11,0.0267386599275022,0.1482378944848147,7
2015,12,0.0049037888060389,0.1329919672529363,7
2016,1,0.0003608331895431,0.1244431395869482,8
2016,2,0.0828089981196939,0.156018084862859,6
2016,3,0.1582905280569474,0.3288071234184243,6
2016,4,0.0901886233352124,0.2620717199378083,8
2016,5,0.0975424546103783,0.2452181790545542,8
2016,6,0.1390327359252,0.2004339195697395,8
2016,7,0.0218803841653489,0.1658931142901063,8
2016,8,0.0216071348231187,0.1429488846827782,6
2016,9,-0.0009409343084858,0.1448834979676062,8
2016,10,-0.0591592073704406,0.1295718526646212,8
2016,11,-0.0016366055324713,0.1265531434163432,8
2016,12,-0.1644088504005355,0.1136502344441046,7
2017,1,0.0324280358173791,0.1228296659486802,8
2017,2,0.0297377276609798,0.3627263129426635,6
2017,3,0.1421497242298345,0.4591973939438981,7
2017,4,0.1789923276672154,0.4093299895232481,8
2017,5,0.1370608162539518,0.4202033881444654,7
2017,6,0.0786760063723863,0.2909573211124255,5
2017,7,0.1240758770505864,0.3121213108399965,6
2017,8,0.0743920359329256,0.240117854284919,7
2017,9,0.0124122382362641,0.2027427518623312,7
2017,10,0.0191223343293255,0.1954670382049854,8
2017,11,-0.0818800578999798,0.1601602310460133,8
2017,12,-0.0625937895616641,0.1694849189910455,6
2018,1,-0.0057544154405531,0.1797966935288591,8
2018,2,0.0576946973067439,0.1594509712751848,8
2018,3,0.1543001003136123,0.158726531536446,7
2018,4,0.2200990887560898,0.1865924805214386,6
2018,5,0.1024594103960282,0.1947128823467946,7
2018,6,0.0891666883884355,0.161438714515432,7
2018,7,0.0876404285753194,0.1535144681293027,7
2018,8,0.0426047948982368,0.1462985669115424,7
2018,9,0.0206525339165599,0.1392703391080959,7
2018,10,0.0398509724068942,0.1342336782197453,6
2018,11,0.1464466080918622,0.1287471171569228,6
2018,12,0.0777203786666571,0.1416392827703718,5
2019,1,0.0420567505435812,0.1303615095614765,8
2019,2,0.0629409293530076,0.2065702250731917,6
2019,3,0.1028781203190359,0.3229839922292808,8
2019,4,,0.2127104859117712,5
2019,5,0.1220132976685097,0.2030619546078338,8
2019,6,0.1015897094674191,0.2078995525326302,8
2019,7,0.0590101477090744,0.1670863938265916,8
2019,8,0.03109744751507,0.1716268062666063,5
2019,9,0.0308604942429808,0.1485684990736152,8
2019,10,-0.0189061688311194,0.1416837751892826,8
2019,11,0.0599055037633777,0.1359202918398106,8
2019,12,0.239847896646503,0.1236110598357418,8
2020,1,0.070042320256449,0.1401024764410049,6
2020,2,0.0881796115745052,0.1776549851082299,6
2020,3,0.1095319344073017,0.1750317395236622,8
2020,4,0.0909819941644873,0.1958543841086669,8
2020,5,0.1366262937574103,0.1489207317282829,8
2020,6,0.1000551821384241,0.160178224825737,6
2020,7,0.0489166805994035,0.1254109864004634,7
2020,8,0.0635043106355318,0.1249192982406351,8
2020,9,0.0394670516487579,0.1169809401733677,8
2020,10,0.0213511935718239,0.119893461506229,8
2020,11,0.1574255412539492,0.0969383093052984,4
2020,12,-0.0190750990149279,0.1047404913884402,7
2021,1,,0.1110325855305113,6
2021,2,0.0831008184978992,0.1382061723016837,8
2021,3,0.1097860167293517,0.2667001133238872,7
2021,4,0.1640034147121672,0.282198793465364,6
2021,5,0.1293649283252262,0.2501874204594262,7
2021,6,0.103556496646334,0.2494174892591382,5
2021,7,0.109477022282486,0.1613472469338163,7
2021,8,0.1288333532384083,0.1534176080855961,6
2021,9,-0.0050362142238,0.1500031710703516,4
2021,10,0.0341713030533256,0.1264167297755506,8
2021,11,0.082095708613951,0.1171280702448808,8
2021,12,0.0165760950358269,0.1311455186204299,7
2022,1,0.0709957371879235,0.1251988175051873,8
2022,2,0.1014372774961432,0.0750092976708997,4
2022,3,0.1188362816089254,0.1364966812464553,7
2022,4,0.1300435551916658,0.1811008068066003,8
2022,5,0.1255452816157779,0.1484461670612655,8
2022,6,0.0980084083153757,0.1301592074427824,8
2022,7,0.1028234674987692,0.1220184433276041,6
2022,8,0.0923726643116162,0.1162018133690384,7
2022,9,0.0693339336261116,0.1186026597403928,7
2022,10,0.0188084398516118,0.1002131964434532,8
2022,11,0.0052865379995948,0.1115617306970845,7
2022,12,0.0419546709149996,0.1056148245496386,8
2023,1,0.009540303683081,0.1042866409326141,8
2023,2,0.0306062383996383,0.1091542007842094,6
2023,3,0.086452311706241,0.3124729724925601,7
2023,4,0.1301841505347396,0.497863053562925,6
2023,5,0.0889467558166698,0.4198463732767304,6
2023,6,0.1551369400806893,0.318136346578158,7
2023,7,0.0992352693657494,0.2627707160340819,7
2023,8,0.0700073227084773,0.2556999137488698,5
2023,9,0.0247930996020715,0.2116945709909743,7
2023,10,0.012953674185377,0.1979698385166207,8
2023,11,0.0148776469996456,0.2145718842511008,5
2023,12,0.0168132505981531,0.1792323291821372,8
2024,1,0.0472125985556161,0.1887889298829523,7
2024,2,0.1745444221609709,0.2712821554409213,4
2024,3,0.1366342363799152,0.2729073383667152,8
2024,4,0.1607160403271396,0.2069496569836851,6
2024,5,0.1311510603827314,0.2080366071594397,8
2024,6,0.0959121013751035,0.1780471411981582,8
2024,7,0.0944445989582816,0.1628173045445219,6
2024,8,0.0038010889480347,0.1469722014754559,7
2024,9,0.0330545390159921,0.1447921285793195,8
2024,10,-0.0282781220088539,0.1449045880732313,6
2024,11,0.0123505313127644,0.1375544796489819,8
2024,12,-0.0136023852332632,0.1231289251495115,6
2025,1,-0.0185276379285809,0.1371237793179024,7
2025,2,0.1585351041102441,0.1432523676254275,6
2025,3,0.1079811800401253,0.2595238200230384,6
2025,4,0.1407310633149029,0.3151744050099189,8
2025,5,0.2112549693339789,0.2731380490741434,7
2025,6,0.1025814548645638,0.1639675348774258,5
2025,7,0.1194555966210839,0.2141565326533536,6
2025,8,-0.0512924526991395,0.2143484253116049,5
2025,9,0.2128190568130739,0.1271902299163619,7
2025,10,0.1252742251329351,0.1444457163872883,8
2025,11,0.0682304660458484,0.1495628640484443,6
2025,12,0.0767574014104723,0.1322491569894107,7
2026,1,0.07658954287487535,0.10808596074814694,6
2026,2,0.13715081818355476,0.19937793388803232,8
2026,3,0.1702114504729268,0.3154196556096372,8
2026,4,0.1269078000817178,0.2914890525988251,8
2026,5,0.12265149354292672,0.21619506273734407,8
2026,6,0.10798260601047252,0.1759106633744055,4
2026,7,0.09838616541016681,0.18223544400563452,8
