anio,mes,sst_nino12,anom_nino12,sst_piura,anom_piura,n_dias_sst
1982,1,24.20982444727953,-0.2535043476437293,20.793834488945578,-1.989120563773043,31
1982,2,25.270128802662946,-0.5645098560005862,21.021082138668845,-3.1717780556685726,28
1982,3,25.0252075791672,-1.181032602953409,20.197675571095832,-3.8648420062797575,31
1982,4,24.33051728371544,-1.0404613110889336,19.118012564918747,-3.655835259954207,30
1982,5,23.856352934874987,-0.3989562188796878,19.84398742967699,-1.843715703176087,31
1982,6,22.876908294306265,-0.1360628166852317,19.395271793153523,-1.3561005751940585,30
1982,7,22.110790928941228,0.267749615339354,19.27501153810819,-0.6880567339858084,31
1982,8,21.78340505584144,0.8819472250536269,18.443371397381096,-0.6809497997719401,31
1982,9,21.9932249684954,1.3922538181662585,19.070741553582405,0.1913896800134027,30
1982,10,22.781929226582,1.8028387134175,20.96685050178612,1.57937396981177,31
1982,11,24.55934138029562,2.8471292482922688,23.19424945552019,3.019844753448373,30
1982,12,25.83064293126711,2.943069336158343,24.05802063348808,2.724287798788364,31
1983,1,26.902840562086087,2.43950973683321,26.2921464664206,3.5092074643723774,31
1983,2,27.6615014074297,1.826848962107504,26.825733432257152,2.632914462819808,28
1983,3,28.37695500375409,2.17074577013543,27.74481395813856,3.6823683115451353,31
1983,4,28.165685878616475,2.7946743354354826,28.37686312615178,5.602840341765791,30
1983,5,27.94021718182499,3.684912532864285,28.31394884321685,6.626535541156189,31
1983,6,27.267372568830503,4.254369718577166,27.51821756854862,6.766654771876923,30
1983,7,25.764223258655026,3.9211690778389694,24.153139338193583,4.189989677851697,31
1983,8,23.72827665886273,2.8268101871523195,20.158496641248608,1.0342980668940065,31
1983,9,22.17238212511571,1.5714187539768971,20.0809467805886,1.2019959233819175,30
1983,10,22.03351839699065,1.054408230368682,19.217687838779938,-0.169862191213744,31
1983,11,22.036169144937805,0.3239157933021105,19.2924141397219,-0.8818406209862067,30
1983,12,22.98976566522889,0.102166732407494,19.93487540464443,-1.3987856073584497,31
1984,1,24.2490638270191,-0.2142343686990485,20.380442177054565,-2.402435216359795,31
1984,2,25.113938996820245,-0.7322075982038044,22.447571591151995,-1.750239108959509,29
1984,3,25.562515847591207,-0.6437272825146271,22.295290019941746,-1.7671596258086135,31
1984,4,25.092778069474363,-0.2782360651596895,20.67442648126432,-2.099472664321216,30
1984,5,23.254865692357715,-1.000459912409977,19.232718345862224,-2.4547226260409976,31
1984,6,22.1368128542975,-0.8762112900398487,18.96577902496231,-1.7857202769866534,30
1984,7,21.159859609383297,-0.6831802282224104,18.38236890601441,-1.5807999935148809,31
1984,8,20.327814955889057,-0.5736532856811412,18.138223887937144,-0.9858128826895954,31
1984,9,20.293159273261285,-0.307846117375226,17.851275255486684,-1.0279940805271686,30
1984,10,20.538733072961325,-0.4403795173665997,17.64911397056837,-1.7382683650473685,31
