fecha,anio,mes,sst_nino12,anom_nino12,sst_piura,anom_piura,n_dias_sst,anomalia,icen,icen_operativo,categoria
1982-01-01,1982,1,24.20982444727953,-0.2535043476437293,20.793834488945578,-1.989120563773043,31,-0.29718391028754,,,S/D
1982-02-01,1982,2,25.270128802662946,-0.5645098560005862,21.021082138668845,-3.1717780556685726,28,-0.7832658929636942,-0.8502275428478411,,DEBIL
1982-03-01,1982,3,25.0252075791672,-1.181032602953409,20.197675571095832,-3.8648420062797575,31,-1.470232825292289,-1.1630677927415636,-0.8502275428478411,MODERADA
1982-04-01,1982,4,24.33051728371544,-1.0404613110889336,19.118012564918747,-3.655835259954207,30,-1.2357046599687074,-1.1156814074837555,-1.1630677927415636,MODERADA
1982-05-01,1982,5,23.856352934874987,-0.3989562188796878,19.84398742967699,-1.843715703176087,31,-0.6411067371902703,-0.7105726035630345,-1.1156814074837555,DEBIL
1982-06-01,1982,6,22.876908294306265,-0.1360628166852317,19.395271793153523,-1.3561005751940585,30,-0.2549064135301258,-0.21259930962532655,-0.7105726035630345,NEUTRO
1982-07-01,1982,7,22.110790928941228,0.267749615339354,19.27501153810819,-0.6880567339858084,31,0.2582152218444165,0.2881885149893802,-0.21259930962532655,NEUTRO
1982-08-01,1982,8,21.78340505584144,0.8819472250536269,18.443371397381096,-0.6809497997719401,31,0.8612567366538499,0.8109856578193609,0.2881885149893802,DEBIL
1982-09-01,1982,9,21.9932249684954,1.3922538181662585,19.070741553582405,0.1913896800134027,30,1.3134850149598165,1.3220963778545685,0.8109856578193609,MODERADA
1982-10-01,1982,10,22.781929226582,1.8028387134175,20.96685050178612,1.57937396981177,31,1.7915473819500392,1.9801391093548115,1.3220963778545685,MODERADA
1982-11-01,1982,11,24.55934138029562,2.8471292482922688,23.19424945552019,3.019844753448373,30,2.8353849311545787,2.5268100496445123,1.9801391093548115,FUERTE
1982-12-01,1982,12,25.83064293126711,2.943069336158343,24.05802063348808,2.724287798788364,31,2.9534978358289194,2.7282383238341716,2.5268100496445123,FUERTE
1983-01-01,1983,1,26.902840562086087,2.43950973683321,26.2921464664206,3.5092074643723774,31,2.3958322045190172,2.3191455840503323,2.7282383238341716,FUERTE
1983-02-01,1983,2,27.6615014074297,1.826848962107504,26.825733432257152,2.632914462819808,28,1.6081067118030603,1.9618178385388927,2.3191455840503323,MODERADA
1983-03-01,1983,3,28.37695500375409,2.17074577013543,27.74481395813856,3.6823683115451353,31,1.8815145992946007,2.029695082009996,1.9618178385388927,MODERADA
1983-04-01,1983,4,28.165685878616475,2.7946743354354826,28.37686312615178,5.602840341765791,30,2.599463934932327,2.6412453479955538,2.029695082009996,FUERTE
1983-05-01,1983,5,27.94021718182499,3.684912532864285,28.31394884321685,6.626535541156189,31,3.4427575097597334,3.392593101895391,2.6412453479955538,FUERTE
1983-06-01,1983,6,27.267372568830503,4.254369718577166,27.51821756854862,6.766654771876923,30,4.135557860994112,3.8299876407706868,3.392593101895391,EXTRAORDINARIA
1983-07-01,1983,7,25.764223258655026,3.9211690778389694,24.153139338193583,4.189989677851697,31,3.9116475515582145,3.6177779174091556,3.8299876407706868,EXTRAORDINARIA
1983-08-01,1983,8,23.72827665886273,2.8268101871523195,20.158496641248608,1.0342980668940065,31,2.8061283396751406,2.736806020937827,3.6177779174091556,FUERTE
1983-09-01,1983,9,22.17238212511571,1.5714187539768971,20.0809467805886,1.2019959233819175,30,1.4926421715801261,1.7806356878713185,2.736806020937827,MODERADA
1983-10-01,1983,10,22.03351839699065,1.054408230368682,19.217687838779938,-0.169862191213744,31,1.043136552358689,0.9493304732451927,1.7806356878713185,DEBIL
1983-11-01,1983,11,22.036169144937805,0.3239157933021105,19.2924141397219,-0.8818406209862067,30,0.31221269579676303,0.4893232726487173,0.9493304732451927,NEUTRO
1983-12-01,1983,12,22.98976566522889,0.102166732407494,19.93487540464443,-1.3987856073584497,31,0.11262056979069968,0.05562957834649751,0.4893232726487173,NEUTRO
1984-01-01,1984,1,24.2490638270191,-0.2142343686990485,20.380442177054565,-2.402435216359795,31,-0.2579445305479702,-0.36159321985455506,0.05562957834649751,NEUTRO
1984-02-01,1984,2,25.113938996820245,-0.7322075982038044,22.447571591151995,-1.750239108959509,29,-0.9394556988063947,-0.710108262074216,-0.36159321985455506,DEBIL
1984-03-01,1984,3,25.562515847591207,-0.6437272825146271,22.295290019941746,-1.7671596258086135,31,-0.9329245568682829,-0.7819413766281542,-0.710108262074216,DEBIL
1984-04-01,1984,4,25.092778069474363,-0.2782360651596895,20.67442648126432,-2.099472664321216,30,-0.47344387420978506,-0.8829874702618703,-0.7819413766281542,DEBIL
1984-05-01,1984,5,23.254865692357715,-1.000459912409977,19.232718345862224,-2.4547226260409976,31,-1.242593979707543,-0.9036799024854064,-0.8829874702618703,DEBIL
1984-06-01,1984,6,22.1368128542975,-0.8762112900398487,18.96577902496231,-1.7857202769866534,30,-0.9950018535388914,-0.9767706436533162,-0.9036799024854064,DEBIL
1984-07-01,1984,7,21.159859609383297,-0.6831802282224104,18.38236890601441,-1.5807999935148809,31,-0.6927160977135145,-0.7606837715169791,-0.9767706436533162,DEBIL
1984-08-01,1984,8,20.327814955889057,-0.5736532856811412,18.138223887937144,-0.9858128826895954,31,-0.5943333632985315,-0.5578767137621151,-0.7606837715169791,NEUTRO
1984-09-01,1984,9,20.293159273261285,-0.307846117375226,17.851275255486684,-1.0279940805271686,30,-0.3865806802742995,-0.4775209384144894,-0.5578767137621151,NEUTRO
1984-10-01,1984,10,20.538733072961325,-0.4403795173665997,17.64911397056837,-1.7382683650473685,31,-0.4516487716706372,-0.37104065339085207,-0.4775209384144894,NEUTRO
1984-11-01,1984,11,21.449063940913422,-0.2631382738644885,18.50583593008321,-1.6683642151114098,30,-0.27489250822761946,-0.3459812266939449,-0.37104065339085207,NEUTRO
1984-12-01,1984,12,22.565742695254613,-0.3218407963754341,19.12803392798276,-2.2054876539540325,31,-0.311402400183578,-0.5363077897980624,-0.3459812266939449,NEUTRO
1985-01-01,1985,1,23.48437989658408,-0.9822217957491036,19.9990067499284,-2.787467885148537,31,-1.0226284609829897,-0.9092424471796127,-0.5363077897980624,DEBIL
1985-02-01,1985,2,24.65969821525437,-1.1887333842849377,21.802322714979777,-2.399525225570209,28,-1.3936964803722702,-1.1322222813681566,-0.9092424471796127,MODERADA
1985-03-01,1985,3,25.51509850171028,-0.6902283426272117,22.37925367084777,-1.6836988418657697,31,-0.9803419027492097,-1.2876486010246495,-1.1322222813681566,MODERADA
1985-04-01,1985,4,24.07731452373168,-1.2936359950420775,19.59714145306305,-3.176678226391915,30,-1.4889074199524686,-1.4740567089034695,-1.2876486010246495,FUERTE
1985-05-01,1985,5,22.544538868056527,-1.7107153886565236,18.54664130264431,-3.1410764217273126,31,-1.9529208040087305,-1.5950870294188206,-1.4740567089034695,FUERTE
1985-06-01,1985,6,21.788381843541128,-1.2246227976099278,18.996205282850287,-1.7550079857039147,30,-1.3434328642952629,-1.5413944783639124,-1.5950870294188206,FUERTE
1985-07-01,1985,7,20.524745940309067,-1.318317280149028,18.010367976480637,-1.9528845270456496,31,-1.327829766787744,-1.3197301844817784,-1.5413944783639124,FUERTE
1985-08-01,1985,8,19.63422039682526,-1.2672400199613472,17.529926772193974,-1.5946196747712644,31,-1.2879279223623286,-1.3228815827315792,-1.3197301844817784,FUERTE
1985-09-01,1985,9,19.32685289449092,-1.274116736853293,17.33842530853856,-1.5408255989277937,30,-1.352887059044665,-1.2506779916780175,-1.3228815827315792,MODERADA
1985-10-01,1985,10,19.879162851004903,-1.09991337304676,17.68051524273262,-1.7069430228222164,31,-1.111218993627059,-1.1000874702843564,-1.2506779916780175,MODERADA
1985-11-01,1985,11,20.887800090959697,-0.8243971493325718,18.483743619813488,-1.690234712682191,30,-0.8361563581813449,-0.8278599741381392,-1.1000874702843564,DEBIL
1985-12-01,1985,12,22.340940524832178,-0.546626849720475,20.18582704186685,-1.1478809872513362,31,-0.5362045706060137,-0.4700996961693811,-0.8278599741381392,NEUTRO
1986-01-01,1986,1,24.469070197846285,0.0057169080644026,22.342167543058498,-0.4408296629359217,31,-0.037938159720784626,-0.26938176113165707,-0.4700996961693811,NEUTRO
1986-02-01,1986,2,25.819392142558467,-0.0152436981401283,22.753783057702893,-1.4389565732474936,28,-0.23400255306817286,-0.3372106792697404,-0.26938176113165707,NEUTRO
1986-03-01,1986,3,25.755749079439227,-0.4504863714789972,20.913131556050352,-3.149375645134269,31,-0.7396913250202637,-0.6465334602842793,-0.3372106792697404,NEUTRO
1986-04-01,1986,4,24.600315440919747,-0.7706522221624121,20.49976858211873,-2.2739406377394324,30,-0.9659065027644012,-1.0024268121969573,-0.6465334602842793,DEBIL
1986-05-01,1986,5,23.19577706325905,-1.0595094549913977,19.871174779370843,-1.816289322791412,31,-1.3016826088062068,-1.0957936696995318,-1.0024268121969573,DEBIL
