anio,mes,sst_nino12,anom_nino12,sst_piura,anom_piura,n_dias_sst
1982,1,24.20982444727953,-0.2535043476437293,20.793834488945578,-1.989120563773043,31
1982,2,25.270128802662942,-0.5645098560005862,21.021082138668845,-3.1717780556685726,28
1982,3,25.025207579167194,-1.181032602953409,20.197675571095832,-3.8648420062797575,31
1982,4,24.330517283715437,-1.0404613110889336,19.118012564918747,-3.655835259954207,30
1982,5,23.856352934874987,-0.39895621887968785,19.84398742967699,-1.843715703176087,31
1982,6,22.876908294306265,-0.13606281668523174,19.395271793153523,-1.3561005751940585,30
1982,7,22.110790928941228,0.267749615339354,19.27501153810819,-0.6880567339858084,31
1982,8,21.78340505584144,0.8819472250536269,18.443371397381096,-0.6809497997719401,31
1982,9,21.993224968495394,1.3922538181662583,19.070741553582405,0.1913896800134027,30
1982,10,22.781929226581994,1.8028387134175,20.96685050178612,1.57937396981177,31
1982,11,24.55934138029562,2.8471292482922688,23.19424945552019,3.0198447534483734,30
1982,12,25.83064293126711,2.943069336158343,24.058020633488077,2.724287798788364,31
1983,1,26.902840562086087,2.43950973683321,26.292146466420593,3.5092074643723774,31
1983,2,27.6615014074297,1.8268489621075041,26.825733432257152,2.632914462819808,28
1983,3,28.376955003754095,2.17074577013543,27.74481395813856,3.6823683115451353,31
1983,4,28.165685878616475,2.7946743354354826,28.37686312615178,5.602840341765791,30
1983,5,27.94021718182499,3.684912532864285,28.313948843216846,6.626535541156189,31
1983,6,27.267372568830506,4.254369718577166,27.51821756854862,6.766654771876923,30
1983,7,25.764223258655026,3.9211690778389694,24.153139338193586,4.189989677851697,31
1983,8,23.72827665886273,2.8268101871523195,20.158496641248608,1.0342980668940063,31
1983,9,22.17238212511571,1.5714187539768973,20.080946780588597,1.2019959233819177,30
1983,10,22.03351839699065,1.0544082303686821,19.217687838779938,-0.16986219121374407,31
1983,11,22.036169144937805,0.32391579330211057,19.2924141397219,-0.8818406209862067,30
1983,12,22.989765665228894,0.10216673240749405,19.93487540464443,-1.3987856073584497,31
1984,1,24.2490638270191,-0.21423436869904855,20.380442177054565,-2.402435216359795,31
1984,2,25.113938996820245,-0.7322075982038044,22.447571591151995,-1.750239108959509,29
1984,3,25.562515847591207,-0.6437272825146271,22.295290019941742,-1.7671596258086137,31
1984,4,25.092778069474363,-0.2782360651596895,20.674426481264316,-2.0994726643212154,30
1984,5,23.254865692357715,-1.0004599124099767,19.232718345862224,-2.4547226260409976,31
1984,6,22.1368128542975,-0.8762112900398487,18.96577902496231,-1.7857202769866534,30
1984,7,21.159859609383297,-0.6831802282224104,18.38236890601441,-1.5807999935148809,31
1984,8,20.327814955889057,-0.5736532856811412,18.138223887937144,-0.9858128826895954,31
1984,9,20.293159273261285,-0.307846117375226,17.851275255486684,-1.0279940805271686,30
1984,10,20.538733072961325,-0.44037951736659975,17.64911397056837,-1.7382683650473683,31
1984,11,21.449063940913426,-0.26313827386448857,18.505835930083215,-1.6683642151114098,30
1984,12,22.565742695254613,-0.32184079637543417,19.128033927982756,-2.2054876539540325,31
1985,1,23.48437989658408,-0.9822217957491035,19.9990067499284,-2.787467885148537,31
1985,2,24.659698215254366,-1.1887333842849377,21.802322714979777,-2.399525225570209,28
1985,3,25.515098501710273,-0.6902283426272117,22.37925367084777,-1.6836988418657697,31
1985,4,24.077314523731676,-1.2936359950420777,19.59714145306305,-3.176678226391915,30
1985,5,22.544538868056527,-1.7107153886565236,18.54664130264431,-3.1410764217273126,31
1985,6,21.788381843541128,-1.2246227976099278,18.996205282850287,-1.7550079857039147,30
1985,7,20.524745940309067,-1.318317280149028,18.010367976480637,-1.9528845270456499,31
1985,8,19.63422039682526,-1.2672400199613472,17.529926772193974,-1.5946196747712644,31
1985,9,19.32685289449092,-1.274116736853293,17.33842530853856,-1.5408255989277935,30
1985,10,19.879162851004903,-1.09991337304676,17.68051524273262,-1.7069430228222164,31
1985,11,20.887800090959697,-0.8243971493325718,18.483743619813488,-1.690234712682191,30
1985,12,22.340940524832178,-0.546626849720475,20.185827041866855,-1.1478809872513362,31
1986,1,24.469070197846285,0.005716908064402654,22.342167543058498,-0.4408296629359217,31
1986,2,25.819392142558467,-0.015243698140128312,22.753783057702893,-1.4389565732474936,28
1986,3,25.755749079439227,-0.4504863714789972,20.913131556050352,-3.149375645134269,31
1986,4,24.600315440919747,-0.7706522221624121,20.499768582118726,-2.2739406377394324,30
1986,5,23.195777063259058,-1.0595094549913977,19.871174779370843,-1.816289322791412,31
1986,6,22.112022810308403,-0.9009642062009917,18.740162338750213,-2.0115311330764505,30
1986,7,21.313863391406542,-0.5292134923686987,19.65080950502327,-0.3121636519868784,31
1986,8,20.83690221919035,-0.06452152610262557,19.09705191878469,-0.026800242111122537,31
1986,9,20.58474141990927,-0.016256800235197665,18.327918244262026,-0.5514855643044622,30
1986,10,21.12484353304606,0.14572664162504365,19.144687930652456,-0.24294954036716587,31
