anio,mes,ndmi_andes,msavi_montes,n_escenas
2013,1,,,0
2013,2,,,0
2013,3,0.13267553524416273,0.3199401622451875,4
2013,4,0.0865256304049286,0.29903340682384144,2
2013,5,0.0881418378306111,0.21122458157488766,5
2013,6,0.12182871396217909,0.16290821126730992,5
2013,7,0.06662043943982161,0.13869190575821538,8
2013,8,0.08260028293403457,0.1294768808103691,8
2013,9,-0.09640356927598331,0.12509245623685586,6
2013,10,-0.0219882260399157,0.11180798955490967,7
2013,11,0.026979271257074004,0.11069082848849604,6
2013,12,-0.006913658177203863,0.10507505298872839,7
2014,1,-0.031158974864878775,0.09049939763106998,5
2014,2,,0.09746196424438333,4
2014,3,0.08987982270135866,0.1424260522076972,6
2014,4,0.10482315819068638,0.15578158789060945,8
2014,5,0.16031643219074113,0.15570491921761748,6
2014,6,0.07775494804971665,0.11267157740218611,6
2014,7,0.0887399898505717,0.10339147524568829,7
2014,8,0.062413069317054023,0.09849507258193363,8
2014,9,0.08978443486983752,0.10239227177235236,8
2014,10,0.052164002807419056,0.09740318722057786,8
2014,11,0.13248645401289677,0.08986755733701651,5
2014,12,-0.07316487480370021,0.09447755228145809,8
2015,1,0.00034345838648947236,0.08645293819114255,7
2015,2,0.07931647840435747,0.1347464141600179,6
2015,3,0.12915081837575984,0.1259510699582481,6
2015,4,0.12133759422391069,0.3577665074907544,4
2015,5,0.12917813774316653,0.17080188646073396,8
2015,6,0.09062792859586787,0.1608851380540768,5
2015,7,0.11874967273592436,0.1285469145607964,8
2015,8,0.00039769010894522054,0.18499538567305235,6
2015,9,0.04426222132610292,0.1492001806726812,6
2015,10,-0.0018258329771017182,0.14222257055445542,8
2015,11,0.026738659927502212,0.14823789448481478,7
2015,12,0.004903788806038913,0.13299196725293636,7
2016,1,0.0003608331895431251,0.12444313958694822,8
2016,2,0.0828089981196939,0.15601808486285904,6
2016,3,0.15829052805694743,0.32880712341842433,6
2016,4,0.09018862333521242,0.26207171993780837,8
2016,5,0.09754245461037836,0.24521817905455423,8
2016,6,0.13903273592520002,0.20043391956973958,8
2016,7,0.021880384165348956,0.16589311429010634,8
2016,8,0.02160713482311879,0.14294888468277822,6
2016,9,-0.0009409343084858767,0.14488349796760625,8
2016,10,-0.05915920737044062,0.12957185266462123,8
2016,11,-0.0016366055324713155,0.12655314341634327,8
2016,12,-0.16440885040053552,0.11365023444410466,7
2017,1,0.03242803581737914,0.12282966594868028,8
2017,2,0.029737727660979887,0.3627263129426635,6
2017,3,0.14214972422983457,0.4591973939438981,7
2017,4,0.17899232766721546,0.4093299895232481,8
2017,5,0.1370608162539518,0.42020338814446545,7
2017,6,0.0786760063723863,0.29095732111242556,5
2017,7,0.12407587705058644,0.3121213108399965,6
2017,8,0.07439203593292565,0.240117854284919,7
2017,9,0.01241223823626415,0.2027427518623312,7
2017,10,0.01912233432932551,0.19546703820498548,8
2017,11,-0.08188005789997987,0.16016023104601332,8
2017,12,-0.06259378956166414,0.16948491899104554,6
2018,1,-0.005754415440553168,0.17979669352885919,8
2018,2,0.05769469730674391,0.15945097127518482,8
2018,3,0.15430010031361233,0.15872653153644603,7
2018,4,0.2200990887560898,0.1865924805214386,6
2018,5,0.10245941039602825,0.1947128823467946,7
2018,6,0.0891666883884355,0.16143871451543207,7
2018,7,0.08764042857531948,0.1535144681293027,7
2018,8,0.04260479489823684,0.14629856691154247,7
2018,9,0.020652533916559995,0.13927033910809594,7
2018,10,0.03985097240689423,0.13423367821974533,6
2018,11,0.14644660809186222,0.12874711715692283,6
2018,12,0.07772037866665711,0.1416392827703718,5
2019,1,0.04205675054358123,0.13036150956147655,8
2019,2,0.06294092935300766,0.20657022507319175,6
2019,3,0.1028781203190359,0.3229839922292808,8
2019,4,,0.21271048591177122,5
2019,5,0.12201329766850978,0.2030619546078338,8
2019,6,0.1015897094674191,0.20789955253263026,8
2019,7,0.05901014770907441,0.16708639382659163,8
2019,8,0.031097447515070008,0.17162680626660637,5
2019,9,0.030860494242980808,0.14856849907361525,8
2019,10,-0.01890616883111942,0.14168377518928263,8
2019,11,0.059905503763377776,0.13592029183981066,8
2019,12,0.23984789664650302,0.1236110598357418,8
2020,1,0.07004232025644902,0.1401024764410049,6
2020,2,0.08817961157450525,0.17765498510822997,6
2020,3,0.10953193440730173,0.1750317395236622,8
2020,4,0.09098199416448739,0.19585438410866693,8
2020,5,0.1366262937574103,0.1489207317282829,8
2020,6,0.10005518213842417,0.16017822482573701,6
2020,7,0.04891668059940351,0.12541098640046347,7
2020,8,0.06350431063553183,0.12491929824063511,8
2020,9,0.039467051648757905,0.11698094017336773,8
2020,10,0.021351193571823978,0.11989346150622901,8
2020,11,0.1574255412539492,0.09693830930529848,4
2020,12,-0.019075099014927946,0.10474049138844026,7
2021,1,,0.11103258553051139,6
2021,2,0.08310081849789923,0.1382061723016837,8
2021,3,0.10978601672935172,0.2667001133238872,7
2021,4,0.16400341471216726,0.282198793465364,6
2021,5,0.12936492832522628,0.2501874204594262,7
2021,6,0.10355649664633403,0.24941748925913826,5
2021,7,0.10947702228248603,0.16134724693381636,7
2021,8,0.12883335323840833,0.15341760808559612,6
2021,9,-0.005036214223800073,0.15000317107035163,4
2021,10,0.0341713030533256,0.12641672977555066,8
2021,11,0.08209570861395109,0.11712807024488085,8
2021,12,0.016576095035826945,0.13114551862042992,7
2022,1,0.07099573718792353,0.12519881750518735,8
2022,2,0.10143727749614329,0.07500929767089974,4
2022,3,0.11883628160892547,0.1364966812464553,7
2022,4,0.13004355519166585,0.18110080680660035,8
2022,5,0.1255452816157779,0.14844616706126557,8
2022,6,0.09800840831537576,0.13015920744278248,8
2022,7,0.10282346749876926,0.1220184433276041,6
2022,8,0.09237266431161627,0.11620181336903841,7
2022,9,0.06933393362611161,0.11860265974039289,7
2022,10,0.018808439851611878,0.10021319644345328,8
2022,11,0.005286537999594853,0.11156173069708458,7
2022,12,0.0419546709149996,0.10561482454963862,8
2023,1,0.009540303683081027,0.1042866409326141,8
2023,2,0.030606238399638337,0.10915420078420947,6
2023,3,0.08645231170624103,0.3124729724925601,7
2023,4,0.13018415053473967,0.497863053562925,6
2023,5,0.0889467558166698,0.4198463732767304,6
2023,6,0.1551369400806893,0.318136346578158,7
2023,7,0.09923526936574943,0.2627707160340819,7
2023,8,0.07000732270847737,0.2556999137488698,5
2023,9,0.024793099602071517,0.21169457099097436,7
2023,10,0.012953674185377056,0.19796983851662076,8
2023,11,0.014877646999645654,0.21457188425110083,5
2023,12,0.01681325059815318,0.1792323291821372,8
2024,1,0.0472125985556161,0.18878892988295237,7
2024,2,0.17454442216097096,0.2712821554409213,4
2024,3,0.13663423637991526,0.27290733836671527,8
2024,4,0.1607160403271396,0.20694965698368514,6
2024,5,0.13115106038273142,0.2080366071594397,8
2024,6,0.09591210137510356,0.17804714119815826,8
2024,7,0.09444459895828161,0.1628173045445219,6
2024,8,0.003801088948034726,0.14697220147545598,7
2024,9,0.03305453901599219,0.14479212857931956,8
2024,10,-0.028278122008853934,0.1449045880732313,6
2024,11,0.012350531312764477,0.13755447964898196,8
2024,12,-0.013602385233263218,0.12312892514951153,6
2025,1,-0.01852763792858096,0.13712377931790246,7
2025,2,0.15853510411024413,0.1432523676254275,6
2025,3,0.10798118004012533,0.2595238200230384,6
2025,4,0.14073106331490293,0.3151744050099189,8
2025,5,0.2112549693339789,0.2731380490741434,7
2025,6,0.10258145486456388,0.16396753487742588,5
2025,7,0.11945559662108393,0.2141565326533536,6
2025,8,-0.05129245269913955,0.21434842531160495,5
2025,9,0.2128190568130739,0.12719022991636195,7
2025,10,0.12527422513293512,0.14444571638728831,8
2025,11,0.06823046604584847,0.14956286404844432,6
2025,12,0.07675740141047237,0.13224915698941075,7
2026,1,0.07658954287487534,0.10808596074814697,6
2026,2,0.13715081818355476,0.1993779338880323,8
2026,3,0.1702114504729268,0.31541965560963703,8
2026,4,0.12690780008171773,0.29148905259882507,8
2026,5,0.12265149354292677,0.21619506273734412,8
2026,6,0.10798260601047255,0.1759106633744055,4
